,betweenness_centrality,count,degree,degree_centrality,id,tf,word,party,year,margin_seats,winner
0,0.013678573882655516,27,2,0.020202020202020204,Labour.1964,0.002493995935710327,Plan,Labour,1964,4,Labour
1,0.008236469259350397,22,6,0.06060606060606061,Labour.1964,0.002032144836504711,World,Labour,1964,4,Labour
2,0.025216112102684908,21,8,0.08080808080808081,Labour.1964,0.0019397746166635876,Industry,Labour,1964,4,Labour
3,0.04957818699315298,19,4,0.04040404040404041,Labour.1964,0.0017550341769813412,Government,Labour,1964,4,Labour
4,0.0,18,2,0.020202020202020204,Labour.1964,0.001662663957140218,Education,Labour,1964,4,Labour
5,0.016737835105182043,17,2,0.020202020202020204,Labour.1964,0.0015702937372990948,System,Labour,1964,4,Labour
6,0.11154525877596924,16,6,0.06060606060606061,Labour.1964,0.0014779235174579716,Policy,Labour,1964,4,Labour
7,0.17528178824915452,14,5,0.05050505050505051,Labour.1964,0.0012931830777757251,Economy,Labour,1964,4,Labour
8,0.016157828062589967,13,3,0.030303030303030304,Labour.1964,0.001200812857934602,Power,Labour,1964,4,Labour
9,0.02518037518037518,13,5,0.05050505050505051,Labour.1964,0.001200812857934602,Community,Labour,1964,4,Labour
10,0.11828204519008116,13,6,0.06060606060606061,Labour.1964,0.001200812857934602,Expansion,Labour,1964,4,Labour
11,0.011466707895279326,12,4,0.04040404040404041,Labour.1964,0.0011084426380934787,Planning,Labour,1964,4,Labour
12,0.00014430014430014427,12,2,0.020202020202020204,Labour.1964,0.0011084426380934787,Land,Labour,1964,4,Labour
13,0.018220101893571282,12,2,0.020202020202020204,Labour.1964,0.0011084426380934787,Security,Labour,1964,4,Labour
14,0.019171304885590598,12,2,0.020202020202020204,Labour.1964,0.0011084426380934787,Time,Labour,1964,4,Labour
15,0.10189275325329747,11,4,0.04040404040404041,Labour.1964,0.0010160724182523555,Right,Labour,1964,4,Labour
16,0.012177083435586834,11,2,0.020202020202020204,Labour.1964,0.0010160724182523555,Age,Labour,1964,4,Labour
17,0.0,10,1,0.010101010101010102,Labour.1964,0.0009237021984112322,Part,Labour,1964,4,Labour
18,0.07698621509236667,10,5,0.05050505050505051,Labour.1964,0.0009237021984112322,Road,Labour,1964,4,Labour
19,0.1406931938910944,10,10,0.10101010101010102,Labour.1964,0.0009237021984112322,Nation,Labour,1964,4,Labour
20,0.06475444434628108,10,4,0.04040404040404041,Labour.1964,0.0009237021984112322,Basis,Labour,1964,4,Labour
21,0.00874251095339531,10,7,0.07070707070707072,Labour.1964,0.0009237021984112322,Development,Labour,1964,4,Labour
22,0.037930323644609354,10,3,0.030303030303030304,Labour.1964,0.0009237021984112322,Service,Labour,1964,4,Labour
23,0.0,9,1,0.010101010101010102,Labour.1964,0.000831331978570109,Work,Labour,1964,4,Labour
24,0.0,9,0,0.0,Labour.1964,0.000831331978570109,Iii,Labour,1964,4,Labour
25,0.07764538207806422,8,3,0.030303030303030304,Labour.1964,0.0007389617587289858,Expenditure,Labour,1964,4,Labour
26,0.0,8,2,0.020202020202020204,Labour.1964,0.0007389617587289858,Production,Labour,1964,4,Labour
27,0.0160845256090315,8,7,0.07070707070707072,Labour.1964,0.0007389617587289858,Rate,Labour,1964,4,Labour
28,0.07198002355008358,8,8,0.08080808080808081,Labour.1964,0.0007389617587289858,Interest,Labour,1964,4,Labour
